"External Full Name","Level","External ID","Parent ID","openEPD Category","Material Properties","Comment"
"Insulation materials -> Urea formaldehyde resin -> Urea-formaldehyde foam insulation (UFFI)","3","2.16.01","2.16","FoamedInPlace {Thermal/Moisture Prot. >> Insulation >> Foamed-In-Place}","insulating_material = ""Other""",""
"Insulation materials -> Wood fibre","2","2.10","2","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Wood Fiber""",""
"Insulation materials -> Wood fibre -> Wood fibre and wood chips, loose","3","2.10.02","2.10","Insulation {Thermal/Moisture Prot. >> Insulation}","insulating_material = ""Wood Fiber""",""
"Insulation materials -> Wood fibre -> Wood fibre insulation boards","3","2.10.01","2.10","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""Wood Fiber""",""
"Insulation materials -> Wood wool panels","2","2.7","2","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""Wood Fiber""",""
"Insulation materials -> Wood wool panels -> Wood wool panels","3","2.7.01","2.7","BoardInsulation {Thermal/Moisture Prot. >> Insulation >> Board}","insulating_material = ""Wood Fiber""",""
"Metals","1","4","","","",""
"Metals -> Aluminium","2","4.3","4","Aluminium {Aluminium}","",""
"Metals -> Aluminium -> Aluminium foil","3","4.3.04","4.3","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> Aluminium -> Aluminium profiles","3","4.3.02","4.3","AluminiumExtrusions {Aluminium >> Extrusions}","",""
"Metals -> Aluminium -> Aluminium sheets","3","4.3.01","4.3","AluminiumSheetGoods {Aluminium >> Sheet}","",""
"Metals -> Aluminium -> Cast aluminium","3","4.3.03","4.3","Aluminium {Aluminium}","",""
"Metals -> Copper","2","4.4","4","Copper {OtherMaterials >> Copper}","",""
"Metals -> Copper -> Cast or forged copper and brass items","3","4.4.04","4.4","Copper {OtherMaterials >> Copper}","",""
"Metals -> Copper -> Copper pipes","3","4.4.02","4.4","Copper {OtherMaterials >> Copper}","",""
"Metals -> Copper -> Copper profiles","3","4.4.03","4.4","Copper {OtherMaterials >> Copper}","",""
"Metals -> Copper -> Copper sheets","3","4.4.01","4.4","Copper {OtherMaterials >> Copper}","",""
"Metals -> End-of-life processes","2","4.8","4","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> End-of-life processes -> EoL aluminium","3","4.8.01","4.8","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> End-of-life processes -> EoL copper sheets","3","4.8.03","4.8","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> End-of-life processes -> EoL copper sheets (bronze alloy)","3","4.8.04","4.8","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> End-of-life processes -> EoL copper sheets (gold alloy)","3","4.8.05","4.8","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> End-of-life processes -> EoL copper tube","3","4.8.06","4.8","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> End-of-life processes -> EoL sandwich elements","3","4.8.07","4.8","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> End-of-life processes -> EoL stainless steel","3","4.8.02","4.8","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> End-of-life processes -> EoL steel sheets","3","4.8.08","4.8","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> End-of-life processes -> EoL steel works","3","4.8.09","4.8","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> End-of-life processes -> EoL zinc sheets","3","4.8.10","4.8","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> Lead","2","4.6","4","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> Lead -> Lead sheets","3","4.6.01","4.6","Unsupported {OtherMaterials >> Unsupported}","",""
"Metals -> Stainless steel","2","4.2","4","Steel {Steel}","stainless = TRUE",""
"Metals -> Stainless steel -> Fastener","3","4.2.04","4.2","","",""
"Metals -> Stainless steel -> Stainless steel profiles","3","4.2.02","4.2","MBQSteel {Steel >> Merchant Bar}","stainless = TRUE",""
"Metals -> Stainless steel -> Stainless steel sheets","3","4.2.01","4.2","CoilSteel {Steel >> Coil}","stainless = TRUE",""
"Metals -> Stainless steel -> Stainless steel tap water tubes","3","4.2.03","4.2","Steel {Steel}","stainless = TRUE",""
"Metals -> Steel and iron","2","4.1","4","Steel {Steel}","",""
"Metals -> Steel and iron -> Cast or forged steel and iron items","3","4.1.05","4.1","Steel {Steel}","",""
